序号,分部名称,子分部名称,分项名称,默认验收批次,指标名称,整改建议,问题级别,整改天数
1,主体结构阶段,结构安全,楼板开裂、露筋,"层,分层,分户,室外,标段",楼板开裂、露筋（裂缝长度大于300mm或有水区域宽度大于0.2mm；无水区域宽度大于0.3mm）,,一般,7
2,主体结构阶段,结构安全,开洞、切断钢筋,"楼栋,层,分层,分户,地下室,室外,标段",墙、柱、梁砼无设计变更开洞,,一般,7
3,主体结构阶段,结构安全,开洞、切断钢筋,"楼栋,层,分层,分户,地下室,室外,标段",切断钢筋,,一般,7
4,主体结构阶段,结构安全,孔洞蜂窝,"楼栋,层,分层,分户,地下室,室外,标段",孔洞（面积大于10cm²且深度不小于20mm）,,一般,7
5,主体结构阶段,结构安全,孔洞蜂窝,"楼栋,层,分层,分户,地下室,室外,标段",蜂窝、疏松面积不小于20cm²,,一般,7
6,主体结构阶段,结构安全,孔洞蜂窝,"楼栋,层,分层,分户,地下室,室外,标段",错台超过15mm厚,,一般,7
7,主体结构阶段,结构安全,孔洞蜂窝,"楼栋,层,分层,分户,地下室,室外,标段",胀模面积超过40cm²,,一般,7
8,主体结构阶段,结构安全,拆模破坏,"楼栋,层,分层,分户,地下室,室外,标段",露台反坎、剪力墙阳角,,一般,7
9,主体结构阶段,结构安全,拆模破坏,"楼栋,层,分层,分户,地下室,室外,标段",破坏外立面现浇线条（最大长度≥0.3m且最大宽度≥30mm）,,一般,7
10,主体结构阶段,结构安全,拆模破坏,"楼栋,层,分层,分户,地下室,室外,标段",破坏结构一次成型外窗滴水线、洞口阳角,,一般,7
11,主体结构阶段,地下室渗漏,防水基层处理,"楼栋,层,分层,分户,地下室,室外,标段",露筋、错台、蜂窝、孔洞、裂缝缺陷未处理就施工防水层,,一般,7
12,主体结构阶段,地下室渗漏,穿墙套管,"楼栋,层,分层,分户,地下室,室外,标段",外墙穿墙套管未预留或预留质量差（如周边孔洞、蜂窝、露筋）,,一般,7
13,主体结构阶段,地下室渗漏,后浇带独立支撑,"楼栋,层,分层,分户,地下室,室外,标段",后浇带部位未独立搭设、后浇带支撑提前拆除、后浇带提前封闭,,一般,7
14,主体结构阶段,地下室渗漏,后浇带独立支撑,"楼栋,层,分层,分户,地下室,室外,标段",有支撑但仍有大面积龟裂现象,,一般,7
15,主体结构阶段,地下室渗漏,止水螺杆,"楼栋,层,分层,分户,地下室,室外,标段",按要求设置止水螺杆、止水环焊接到位、防腐到位，止水螺杆一次性切除到位(可进行破坏性检查），切除后螺杆头低于墙面（端头处理检查外侧）,,一般,7
16,主体结构阶段,地下室渗漏,止水钢板,"楼栋,层,分层,分户,地下室,室外,标段",应设止水钢板而未设,,一般,7
17,主体结构阶段,地下室渗漏,止水钢板,"楼栋,层,分层,分户,地下室,室外,标段",规格尺寸不符合设计要求,,一般,7
18,主体结构阶段,地下室渗漏,止水钢板,"楼栋,层,分层,分户,地下室,室外,标段",止水钢板不交圈、未搭接焊接（搭接长度不得小于20mm，必须采用双面焊接）、露出宽度不符合施工规范要求（外露宽度100-150mm）,,一般,7
19,主体结构阶段,地下室渗漏,防水层保护,"楼栋,层,分层,分户,地下室,室外,标段",防水层已被破坏,,一般,7
20,主体结构阶段,地下室渗漏,防水层保护,"楼栋,层,分层,分户,地下室,室外,标段",材料堆放于或钢管立于无保护层的防水层上,,一般,7
21,主体结构阶段,地下室渗漏,防水层保护,"楼栋,层,分层,分户,地下室,室外,标段",地下室外墙防水层回填土施工时无保护层,,一般,7
22,主体结构阶段,地下室渗漏,防水层保护,"楼栋,层,分层,分户,地下室,室外,标段",建筑垃圾与防水层接触,,一般,7
23,主体结构阶段,地下室渗漏,地下室渗漏,"楼栋,层,分层,分户,地下室,室外,标段",地下室外墙、覆土顶板、底板砼出现贯通性裂缝、渗漏,,一般,7
24,主体结构阶段,卫生间渗漏,卫生间防水基层,"楼栋,层,分层,分户,地下室,室外,标段",已开始防水施工，但基层未清理，或基层不牢固（空鼓）、有孔洞，造成防水层不完整,,一般,7
25,主体结构阶段,卫生间渗漏,降板,"楼栋,层,分层,分户,地下室,室外,标段",沉箱和降板未设反坎，沐浴区未降板或未设挡坎（干湿未分开）,,一般,7
26,主体结构阶段,卫生间渗漏,防水做法,"楼栋,层,分层,分户,地下室,室外,标段",防水做法、防水节点、防水材料厚度、管线安装不满足要求,,一般,7
27,主体结构阶段,卫生间渗漏,吊洞,"楼栋,层,分层,分户,地下室,室外,标段",层高小于5m未撑补（大于等于5m且有专项方案，可不进行撑补，但吊补不能一次性完成至结构面，需先施工至洞口一半高度后拆模剪掉铁丝，再在其上进行剩余高度的管洞封堵）、撑补质量差（如存在渗漏痕迹、孔洞、蜂窝、疏松、露筋或铁丝、或抹灰修补痕迹）,,一般,7
28,主体结构阶段,卫生间渗漏,地漏,"楼栋,层,分层,分户,地下室,室外,标段",沉箱式卫生间底部未设置地漏（由于各地沉箱卫生间做法不一致，暂时不便考虑如何设地漏）,,一般,7
29,主体结构阶段,卫生间渗漏,给水管,"楼栋,层,分层,分户,地下室,室外,标段",给水管穿结构反坎、门槛底部,,一般,7
