序号,分部名称,子分部名称,分项名称,默认验收批次,指标名称,整改建议,问题级别,整改天数
1,安全生产,三宝、四口、五临边,安全帽,"楼栋,层,分层,分户,地下室,室外,标段",不戴安全帽的或佩带不符合要求的,,1,7
2,安全生产,三宝、四口、五临边,安全网,"楼栋,层,分层,分户,地下室,室外,标段",在建工程外侧未用密目式安全网封闭或网间连接不严、材质不符合要求,,一般,7
3,安全生产,三宝、四口、五临边,安全带,"楼栋,层,分层,分户,地下室,室外,标段",高处作业未佩戴安全带,,一般,7
4,安全生产,三宝、四口、五临边,安全带,"楼栋,层,分层,分户,地下室,室外,标段",安全带使用不规范,,一般,7
5,安全生产,三宝、四口、五临边,临边防护,"楼栋,层,分层,分户,地下室,室外,标段",工作面边沿无临边防护,,一般,7
6,安全生产,三宝、四口、五临边,临边防护,"楼栋,层,分层,分户,地下室,室外,标段",临边防护设施的构造、强度不符合规范要求,,一般,7
7,安全生产,三宝、四口、五临边,临边防护,"楼栋,层,分层,分户,地下室,室外,标段",基坑周边无防护措施的或防护措施不严的,,一般,7
8,安全生产,三宝、四口、五临边,临边防护,"楼栋,层,分层,分户,地下室,室外,标段",屋面、楼层和阳台临边未设防护措施或防护措施不符合要求的,,一般,7
9,安全生产,三宝、四口、五临边,临边防护,"楼栋,层,分层,分户,地下室,室外,标段",楼梯临边未防护或防护措施不严的,,一般,7
10,安全生产,三宝、四口、五临边,洞口防护,"楼栋,层,分层,分户,地下室,室外,标段",在建工程的孔、洞未采取防护措施,,一般,7
11,安全生产,三宝、四口、五临边,洞口防护,"楼栋,层,分层,分户,地下室,室外,标段",防护措施、设施不符合要求或不严密,,一般,7
12,安全生产,三宝、四口、五临边,洞口防护,"楼栋,层,分层,分户,地下室,室外,标段",电梯井口未设防护栏杆或固定栅门，固定栅门式防护底部未设不低于18cm高的挡脚板,,一般,7
13,安全生产,三宝、四口、五临边,洞口防护,"楼栋,层,分层,分户,地下室,室外,标段",电梯井内每隔两层（不大于10m）少一道平网的,,一般,7
14,安全生产,三宝、四口、五临边,通道口防护,"楼栋,层,分层,分户,地下室,室外,标段",未搭设防护棚或防护不严、不牢固,,一般,7
15,安全生产,三宝、四口、五临边,通道口防护,"楼栋,层,分层,分户,地下室,室外,标段",防护棚两侧未进行封闭,,一般,7
16,安全生产,三宝、四口、五临边,通道口防护,"楼栋,层,分层,分户,地下室,室外,标段",防护棚宽度小于通道口宽度,,一般,7
17,安全生产,三宝、四口、五临边,通道口防护,"楼栋,层,分层,分户,地下室,室外,标段",防护棚长度不符合要求,,一般,7
18,安全生产,三宝、四口、五临边,通道口防护,"楼栋,层,分层,分户,地下室,室外,标段",建筑物高度超过24m，防护棚顶未采用双层防护必须防砸、防穿刺,,一般,7
19,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",未安装防坠安全锁或安全锁失灵,,一般,7
20,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",防坠安全锁超过标定期限仍在使用,,一般,7
21,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",未设置挂设安全带专用安全绳及安全锁扣或安全绳未固定在建筑物可靠位置,,一般,7
22,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",吊篮未安装上限位装置或限位装置失灵,,一般,7
23,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",悬挂机构前支架支撑在建筑物女儿墙上或挑檐边缘,,一般,7
24,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",上支架未固定在前支架调节杆与悬挑梁连接的节点处,,一般,7
25,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",使用破损的配重块或采用其他替代物,,一般,7
26,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",配重块未固定或重量不符合设计规定,,一般,7
27,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",钢丝绳有断丝、松股、硬弯、锈蚀或有油污附着物,,一般,7
28,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",安全钢丝绳规格、型号与工作钢丝绳不相同或未独立悬挂,,一般,7
29,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",安全钢丝绳不悬垂,,一般,7
30,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",吊篮组装的构配件不是同一生产厂家的产品，,,一般,7
31,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",吊篮内作业人员数量超过2人,,一般,7
32,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",吊篮内作业人员未将安全带用安全锁扣挂置在独立设置的专用安全绳上,,一般,7
33,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",作业人员未从地面进出吊篮、无作业时未落地,,一般,7
34,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",多层或立体交叉作业未设置防护顶板,,一般,7
35,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",吊篮作业未采取防摆动措施,,一般,7
36,安全生产,脚手架及卸料平台,吊篮,"楼栋,层,分层,分户,地下室,室外,标段",吊篮钢丝绳不垂直或吊篮距建筑物空隙过大,,一般,7
37,安全生产,脚手架及卸料平台,爬架,"楼栋,层,分层,分户,地下室,室外,标段",附着式升降脚手架搭设作业未编制专项施工方案，防坠落装置、防倾覆装置不符合规范要求,,一般,7
38,安全生产,脚手架及卸料平台,爬架,"楼栋,层,分层,分户,地下室,室外,标段",架体高度大于5倍楼层高度，宽度大于1.2m,,一般,7
39,安全生产,脚手架及卸料平台,爬架,"楼栋,层,分层,分户,地下室,室外,标段",附着支座数量、间距不符合规范要求,,一般,7
40,安全生产,脚手架及卸料平台,爬架,"楼栋,层,分层,分户,地下室,室外,标段",主框架和水平支承桁架的节点未采用焊接或螺栓连接，各杆件的轴线未汇交于节点,,一般,7
41,安全生产,脚手架及卸料平台,爬架,"楼栋,层,分层,分户,地下室,室外,标段",内外两片水平支承桁架的上弦和下弦之间未设置水平支撑杆件，各节点未采用焊接或螺栓连接,,一般,7
42,安全生产,脚手架及卸料平台,爬架,"楼栋,层,分层,分户,地下室,室外,标段",两跨以上架体同时升降采用手动装置，未采用电动或液压动力装置,,一般,7
43,安全生产,脚手架及卸料平台,爬架,"楼栋,层,分层,分户,地下室,室外,标段",附着式外架与结构间隙大于300的、底部脚手板上下未采用安全平网封闭的（如因结构线条无法调节的，需在爬架下部2层内设置挑网防护）,,一般,7
44,安全生产,脚手架及卸料平台,悬挑脚手架,"楼栋,层,分层,分户,地下室,室外,标段",每一悬挑段钢管脚手架架体高度超过20m专项施工方案未按规定组织专家论证,,一般,7
45,安全生产,脚手架及卸料平台,悬挑脚手架,"楼栋,层,分层,分户,地下室,室外,标段",型钢悬挑梁未采用双轴对称截面的型钢,,一般,7
46,安全生产,脚手架及卸料平台,悬挑脚手架,"楼栋,层,分层,分户,地下室,室外,标段",悬挑钢梁悬挑长度应按设计确定，固定段长度小于悬挑段长度的1.25倍的,,一般,7
